"pathway","insect_51_WholeSpecimen","insect_52_WholeSpecimen","insect_53_WholeSpecimen","insect_54_WholeSpecimen","insect_55_WholeSpecimen","insect_56_WholeSpecimen","insect_57_WholeSpecimen","insect_58_WholeSpecimen","insect_59_WholeSpecimen","insect_60_WholeSpecimen","insect_61_WholeSpecimen","insect_62_WholeSpecimen","insect_63_WholeSpecimen","insect_64_WholeSpecimen","insect_65_WholeSpecimen","insect_66_WholeSpecimen","insect_67_WholeSpecimen","insect_68_WholeSpecimen","insect_69_WholeSpecimen","insect_70_WholeSpecimen","mean_abundance","max_abundance","median_abundance","prevalence","prevalence_pct","description","description_lower","category"
"PWY-7663",20727.6154527211,9973.13564708776,15063.7722873491,19544.7817790076,27559.2126204512,32928.8126178226,15507.4754519704,37357.4355840278,53202.0423331253,12978.5074503671,19519.7057692071,34661.2022187201,24120.9245533705,5009.1973565523,29936.3398282568,26527.213055515,61724.4632348947,39215.4399019631,37428.495043795,24859.2973452011,27392.2534765703,61724.4632348947,26959.7332660427,23,115,"gondoate biosynthesis (anaerobic)","gondoate biosynthesis (anaerobic)","Fermentation"
"PWY-7111",19210.8736850731,7580.47052940109,6478.06298417132,13244.8917226702,25353.2168840805,29975.9919481025,11610.336916278,2195.54329773859,25490.093972293,10844.1714822365,12748.615238193,17659.7595230193,12934.379933776,4277.96983543481,17184.2552884402,19770.4444388936,51920.3725883253,4432.96845008435,28430.4343141078,12308.3571611607,16682.560509674,51920.3725883253,14963.7261161721,23,115,"pyruvate fermentation to isobutanol (engineered)","pyruvate fermentation to isobutanol (engineered)","Fermentation"
"PWY-7345",19524.8183372084,6707.59332711688,10615.9607723002,16955.1001488966,28335.2708046518,17705.2551232239,9274.50690046851,1889.01655999307,23747.3366468882,10297.0919294798,14408.6561110526,18034.7844027513,15943.6816224523,4557.29993050384,21541.9253055955,15825.1422147168,30766.8260730563,10493.6033136688,22893.5576288857,13009.8214607351,15626.3624306823,30766.8260730563,15884.4119185845,23,115,"superpathway of anaerobic sucrose degradation","superpathway of anaerobic sucrose degradation","Fermentation"
"FERMENTATION-PWY",22008.4553052009,6702.85531165456,11859.1692781813,17908.28056654,12677.1720634488,16221.4328026156,11953.5617847271,4053.26344034166,31683.039409099,10989.0224548747,15477.1721421725,18478.4842222692,7541.34898511746,5175.76580134135,20674.9230772673,18569.258677816,25597.6760603674,9213.00339168872,21942.0150773852,9822.42470584619,14927.4162278977,31683.039409099,15202.2941850351,23,115,"mixed acid fermentation","mixed acid fermentation","Fermentation"
"ANAEROFRUCAT-PWY",7086.33302841333,5582.65994387419,5871.43299272136,7349.57001009191,26681.9893647641,12402.1957373725,2392.07851687107,627.835046939957,19001.1825641098,6481.60652769458,9293.20564487654,13932.7863682926,13650.034092063,1187.15384798286,16352.6192668666,8083.55579845877,16813.0391608332,8735.93861954315,19168.5318122995,10021.3896228958,10535.7568983482,26681.9893647641,9657.29763388619,23,115,"homolactic fermentation","homolactic fermentation","Fermentation"
"PWY-5100",2631.25560908933,2973.4425555727,3245.3129297342,3288.70764955348,23197.4237224695,18546.0064311048,820.777589377324,538.639279920216,15001.803508203,2802.15730310026,5142.79792997286,19006.1075180182,13508.8671639103,420.992053691686,10732.5279830236,3220.82210354237,8454.86985958462,6474.77712188066,15788.1158084181,15008.4252591167,8540.1914689642,23197.4237224695,7464.82349073264,23,115,"pyruvate fermentation to acetate and lactate II","pyruvate fermentation to acetate and lactate ii","Fermentation"
"PWY4LZ-257",15686.4587856908,4809.25081513347,7779.84070731452,11490.3505193771,7190.25339924869,12474.439814979,5965.01275154096,447.601055290925,4125.05911662272,7455.20763564454,8607.73730632245,6381.5526503649,775.887432297259,4016.33199369116,13195.2423377386,9370.24486502086,852.677286671481,972.56060434016,9379.38527058221,9615.66092872705,7029.53776382995,15686.4587856908,7322.73051744661,23,115,"superpathway of fermentation (Chlamydomonas reinhardtii)","superpathway of fermentation (chlamydomonas reinhardtii)","Fermentation"
"P164-PWY",849.512227945652,3125.60946830918,4058.62827085551,1407.71059976928,6154.10634791985,0,0,0,10864.9106493358,3745.447787383,5261.03350320302,5799.72986533673,2890.17470377589,23.8570335938991,10764.0863260568,1261.97443737092,8051.01632368651,3322.39693583905,6619.69053770081,4130.32678979237,3916.51059039372,10864.9106493358,3830.97918888836,20,100,"purine nucleobases degradation I (anaerobic)","purine nucleobases degradation i (anaerobic)","Fermentation"
"P163-PWY",3.43444372125353,183.141464740951,2042.76120510181,5498.97628569697,1037.2584440825,0,0,0,6359.36283969118,550.653548936569,4899.26126223972,286.026359657836,56.153690334207,312.930733118707,3551.44199344169,1471.9509362076,2924.13431893762,30918.0584676452,1201.02796665808,32.7831239746321,3066.46785420933,30918.0584676452,1119.14320537029,20,100,"L-lysine fermentation to acetate and butanoate","l-lysine fermentation to acetate and butanoate","Fermentation"
"PWY-5497",279.636822481523,1521.25090129515,2551.74998314856,552.666995262064,4859.26835268708,59.1144280482287,373.273269726292,223.420165799782,4093.22614410619,1768.14165199292,2964.18799111686,5102.27491667291,3107.95165853205,8.96650684090578,5436.92600236996,505.253204822495,5156.59371913681,2323.25233896522,4429.15960387166,872.234438805603,2309.42745478411,5436.92600236996,2316.33989687467,23,115,"purine nucleobases degradation II (anaerobic)","purine nucleobases degradation ii (anaerobic)","Fermentation"
"PWY0-41",146.123081689219,2115.93086270426,107.530422734534,0,421.724599192112,1657.74596188009,271.823327503357,156.063869438777,2039.43498876287,1008.26608450395,1243.45693171051,4434.40702866544,1969.82136583963,43.8477680605923,3952.57056765886,41.9789428085581,337.064049989924,251.83353297615,1968.95355547049,5199.06237948519,1368.38196605373,5199.06237948519,1125.86150810723,22,110,"allantoin degradation IV (anaerobic)","allantoin degradation iv (anaerobic)","Fermentation"
"PWY-7383",242.256283504024,1446.52311350114,1976.51878415811,313.177589064085,3007.38970489519,696.65011164188,414.731800421585,524.313796592472,84.8129768019003,2660.46861594131,29.9314918834439,2042.70119764867,653.497960840279,321.465673823595,1638.65643514306,610.499112396758,3235.04201373692,133.944813246726,391.875453963631,0,1021.22284646024,3235.04201373692,631.998536618518,22,110,"anaerobic energy metabolism (invertebrates, cytosol)","anaerobic energy metabolism (invertebrates, cytosol)","Fermentation"
"PWY0-301",363.071307843897,34.4689041051685,128.327547497921,1651.43873514388,5800.96743336308,67.9119109298511,190.504609800867,26.6054163970792,1106.4422284715,273.517505874393,650.566743987098,1189.58620902357,4552.23853312294,285.430367541725,118.757068162867,292.712675650944,130.146554283792,368.702370136795,1137.5350526672,0,918.446558700228,5800.96743336308,327.89199174742,22,110,"L-ascorbate degradation I (bacterial, anaerobic)","l-ascorbate degradation i (bacterial, anaerobic)","Fermentation"
"P461-PWY",18.8738760436931,201.789763395616,357.234933720032,299.420471371825,751.628175022564,145.329198159384,454.257030842402,340.981058978996,2201.02141795302,344.034061941509,328.282398542898,1411.36502084324,2854.56033203807,217.372507689283,349.56699970945,249.506630788508,695.079295880728,471.821896172043,7.99212548350913,0,585.005859728838,2854.56033203807,346.80053082548,22,110,"hexitol fermentation to lactate, formate, ethanol and acetate","hexitol fermentation to lactate, formate, ethanol and acetate","Fermentation"
"PWY-6588",9.92785898326572,29.2028684524786,119.224102797364,1643.34508252902,0,94.5210601615663,0,19.1038070222901,1105.06552535401,205.654159186512,355.808261072673,2126.070832092,412.950492136207,76.885760712325,39.9233776996684,283.776741880395,55.7948216227504,368.368987484872,0,0,347.28118695937,2126.070832092,106.872581479465,19,95,"pyruvate fermentation to acetone","pyruvate fermentation to acetone","Fermentation"
"PWY-5507",0,0,0,0,0,0,0,0,0,0,791.838592936705,418.521116555845,0,0,0,0,0,0,0,0,60.5179854746275,791.838592936705,0,4,20,"adenosylcobalamin biosynthesis I (anaerobic)","adenosylcobalamin biosynthesis i (anaerobic)","Fermentation"
"PWY-5494",0,0,75.9095081610446,7.58532221996341,199.862068965517,0,0,0,10.7582091263472,0,0,13.8154182283917,23.0665715952551,0,109.059559573444,0,162.200300793,3.19164763458401,15.5878943979395,0,31.0518250347743,199.862068965517,5.38848492727371,13,65,"pyruvate fermentation to propanoate II (acrylate pathway)","pyruvate fermentation to propanoate ii (acrylate pathway)","Fermentation"
"P108-PWY",175.312912843256,0,11.9938742169358,0,269.372113547746,0,0,0,0,0,0,0,35.8594003218052,0,0,1.99991914021176,0,0,0,0,24.7269110034977,269.372113547746,0,7,35,"pyruvate fermentation to propanoate I","pyruvate fermentation to propanoate i","Fermentation"
"PWY-5677",0,0,0,0,127.18960555006,0,0,0,0,0,0,32.9622057424511,12.982662919156,0,0,19.5067412262174,0,0,9.58339587223233,0,10.1112305655058,127.18960555006,0,7,35,"succinate fermentation to butanoate","succinate fermentation to butanoate","Fermentation"
"PWY-5531",0,0,0,0,0,0,0,0,0,0,13.1584059659047,0,0,0,0,15.7806176836271,0,0,0,0,1.44695118247659,15.7806176836271,0,4,20,"3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)","3,8-divinyl-chlorophyllide a biosynthesis ii (anaerobic)","Fermentation"
